Time (ms),Sensed Force (N),Desired Position (mm),Actual Position (mm)
0,0.1789,6.6,6.6
1,0.2203,6.6,6.6
2,0.2759,6.6,6.6
3,0.2899,6.6,6.6
4,0.3062,6.6,6.6
5,0.2861,6.6,6.6
6,0.2490,6.6,6.6
7,0.1896,6.6,6.6
8,0.2649,6.6,6.6
9,0.2647,6.6,6.6
10,0.2275,6.6,6.6
11,0.2354,6.6,6.6
12,0.2909,6.6,6.6
13,0.3326,6.6,6.6
14,0.3273,6.6,6.6
15,0.3203,6.6,6.6
16,0.2746,6.6,6.6
17,0.2334,6.6,6.6
18,0.2362,6.6,6.6
19,0.1783,6.6,6.6
20,0.1805,6.6,6.6
21,0.2409,6.6,6.6
22,0.3415,6.6,6.6
23,0.3303,6.6,6.6
24,0.2166,6.6,6.6
25,0.1552,6.6,6.6
26,0.1411,6.6,6.6
27,0.2174,6.6,6.6
28,0.3032,6.6,6.7
29,0.3713,6.6,6.7
30,0.3818,6.6,6.6
31,0.3663,6.6,6.7
32,0.3128,6.6,6.7
33,0.3040,6.6,6.6
34,0.2406,6.6,6.6
35,0.2737,6.6,6.6
36,0.2737,6.6,6.6
37,0.3345,6.6,6.6
38,0.3337,6.6,6.7
39,0.3487,6.6,6.7
40,0.3094,6.6,6.7
41,0.2390,6.6,6.6
42,0.2262,6.6,6.7
43,0.2108,6.6,6.6
44,0.2325,6.6,6.7
45,0.2320,6.6,6.7
46,0.2766,6.6,6.6
47,0.2196,6.6,6.7
48,0.1379,6.6,6.6
49,0.0417,6.6,6.7
50,-0.0890,6.6,6.6
51,-0.1064,6.6,6.6
52,-0.1274,6.6,6.6
53,-0.1984,6.6,6.6
54,-0.2527,6.6,6.6
55,-0.2867,6.6,6.6
56,-0.2860,6.6,6.6
57,-0.2994,6.6,6.6
58,-0.3888,6.6,6.6
59,-0.4702,6.6,6.6
60,-0.4394,6.6,6.6
61,-0.3602,6.6,6.6
62,-0.2583,6.6,6.6
63,-0.2143,6.6,6.6
64,-0.2668,6.6,6.6
65,-0.3174,6.6,6.6
66,-0.3267,6.6,6.6
67,-0.3380,6.6,6.6
68,-0.3515,6.6,6.6
69,-0.3910,6.6,6.6
70,-0.3854,6.6,6.6
71,-0.3961,6.6,6.6
72,-0.4652,6.6,6.6
73,-0.5196,6.6,6.6
74,-0.4837,6.6,6.6
75,-0.4966,6.6,6.6
76,-0.4832,6.6,6.6
77,-0.5387,6.6,6.6
78,-0.5762,6.6,6.6
79,-0.6188,6.6,6.6
80,-0.6600,6.6,6.6
81,-0.6694,6.6,6.6
82,-0.6957,6.6,6.6
83,-0.6367,6.6,6.6
84,-0.7014,6.6,6.6
85,-0.7006,6.6,6.6
86,-0.6993,6.6,6.6
87,-0.6894,6.6,6.6
88,-0.6840,6.6,6.6
89,-0.6181,6.6,6.6
90,-0.6208,6.6,6.6
91,-0.5983,6.6,6.6
92,-0.5968,6.6,6.6
93,-0.6408,6.6,6.6
94,-0.6432,6.6,6.6
95,-0.5788,6.6,6.6
96,-0.5674,6.6,6.6
97,-0.5887,6.6,6.6
98,-0.6467,6.6,6.6
99,-0.7256,6.6,6.6
100,-0.7856,6.5,6.6
101,-0.7623,6.5,6.6
102,-0.7719,6.5,6.6
103,-0.7427,6.5,6.6
104,-0.7963,6.5,6.6
105,-0.8636,6.5,6.6
106,-0.8450,6.5,6.6
107,-0.8352,6.5,6.6
108,-0.8528,6.5,6.6
109,-0.8736,6.5,6.6
110,-0.8433,6.5,6.6
111,-0.8196,6.5,6.5
112,-0.8015,6.5,6.5
113,-0.7838,6.5,6.5
114,-0.7861,6.5,6.5
115,-0.8111,6.5,6.5
116,-0.8151,6.5,6.5
117,-0.8232,6.5,6.5
118,-0.8391,6.5,6.5
119,-0.8543,6.5,6.5
120,-0.8751,6.5,6.5
121,-0.8982,6.5,6.5
122,-0.9286,6.5,6.5
123,-0.9852,6.5,6.5
124,-1.1048,6.5,6.5
125,-1.1508,6.5,6.5
126,-1.1321,6.5,6.5
127,-1.1838,6.5,6.5
128,-1.2042,6.4,6.5
129,-1.2006,6.4,6.5
130,-1.2510,6.4,6.5
131,-1.2448,6.4,6.4
132,-1.2088,6.4,6.4
133,-1.2229,6.4,6.4
134,-1.2029,6.4,6.4
135,-1.1931,6.4,6.4
136,-1.1787,6.4,6.4
137,-1.1543,6.4,6.4
138,-1.2552,6.4,6.4
139,-1.2980,6.4,6.4
140,-1.3733,6.4,6.4
141,-1.3672,6.4,6.4
142,-1.3682,6.4,6.4
143,-1.3874,6.4,6.4
144,-1.4318,6.4,6.4
145,-1.4303,6.4,6.4
146,-1.4533,6.3,6.4
147,-1.4652,6.3,6.4
148,-1.4597,6.3,6.3
149,-1.4367,6.3,6.3
150,-1.5165,6.3,6.3
151,-1.5433,6.3,6.3
152,-1.5625,6.3,6.3
153,-1.6192,6.3,6.3
154,-1.5311,6.3,6.3
155,-1.5348,6.3,6.3
156,-1.5446,6.3,6.3
157,-1.5463,6.3,6.3
158,-1.5399,6.3,6.3
159,-1.5391,6.2,6.3
160,-1.5945,6.2,6.3
161,-1.5854,6.2,6.3
162,-1.6039,6.2,6.3
163,-1.5371,6.2,6.3
164,-1.5031,6.2,6.3
165,-1.4799,6.2,6.2
166,-1.5341,6.2,6.2
167,-1.5500,6.2,6.2
168,-1.5798,6.2,6.2
169,-1.5860,6.2,6.2
170,-1.6386,6.2,6.2
171,-1.6763,6.1,6.2
172,-1.6676,6.1,6.2
173,-1.7108,6.1,6.2
174,-1.7246,6.1,6.2
175,-1.7377,6.1,6.1
176,-1.7500,6.1,6.1
177,-1.7873,6.1,6.1
178,-1.7707,6.1,6.1
179,-1.7976,6.1,6.1
180,-1.7865,6.0,6.1
181,-1.7750,6.0,6.1
182,-1.7157,6.0,6.1
183,-1.7268,6.0,6.1
184,-1.7525,6.0,6.1
185,-1.8127,6.0,6.1
186,-1.8672,6.0,6.1
187,-1.8527,6.0,6.0
188,-1.8388,6.0,6.0
189,-1.8492,5.9,6.0
190,-1.9410,5.9,6.0
191,-1.9763,5.9,6.0
192,-2.1018,5.9,6.0
193,-2.0590,5.9,6.0
194,-2.0299,5.9,6.0
195,-2.0332,5.9,6.0
196,-2.0494,5.9,6.0
197,-2.0767,5.8,5.9
198,-2.0763,5.8,5.9
199,-2.0589,5.8,5.9
200,-2.0539,5.8,5.9
201,-2.1503,5.8,5.9
202,-2.2085,5.8,5.9
203,-2.2180,5.8,5.9
204,-2.1635,5.7,5.8
205,-2.1380,5.7,5.8
206,-2.0973,5.7,5.8
207,-2.1564,5.7,5.8
208,-2.2190,5.7,5.8
209,-2.2619,5.7,5.8
210,-2.2315,5.7,5.8
211,-2.2540,5.6,5.8
212,-2.2674,5.6,5.7
213,-2.2708,5.6,5.7
214,-2.2972,5.6,5.7
215,-2.3545,5.6,5.7
216,-2.3919,5.6,5.7
217,-2.4200,5.6,5.7
218,-2.4380,5.5,5.7
219,-2.4661,5.5,5.6
220,-2.4491,5.5,5.6
221,-2.4940,5.5,5.6
222,-2.5266,5.5,5.6
223,-2.5488,5.4,5.6
224,-2.5925,5.4,5.6
225,-2.5844,5.4,5.6
226,-2.5505,5.4,5.5
227,-2.5516,5.4,5.5
228,-2.5824,5.4,5.5
229,-2.6159,5.3,5.5
230,-2.6386,5.3,5.5
231,-2.7324,5.3,5.4
232,-2.6960,5.3,5.4
233,-2.6873,5.3,5.4
234,-2.6478,5.2,5.4
235,-2.6691,5.2,5.4
236,-2.6808,5.2,5.4
237,-2.6851,5.2,5.4
238,-2.6849,5.2,5.3
239,-2.7139,5.1,5.3
240,-2.7372,5.1,5.3
241,-2.7803,5.1,5.3
242,-2.8108,5.1,5.3
243,-2.7370,5.1,5.2
244,-2.7561,5.0,5.2
245,-2.8029,5.0,5.2
246,-2.8526,5.0,5.2
247,-2.8798,5.0,5.2
248,-2.8607,5.0,5.2
249,-2.8254,4.9,5.1
250,-2.8363,4.9,5.1
251,-2.8956,4.9,5.1
252,-2.8866,4.9,5.1
253,-2.8654,4.8,5.1
254,-2.8466,4.8,5.0
255,-2.8041,4.8,5.0
256,-2.8036,4.8,5.0
257,-2.8441,4.8,5.0
258,-2.9499,4.7,5.0
259,-2.9412,4.7,4.9
260,-2.9019,4.7,4.9
261,-2.7583,4.7,4.9
262,-2.6900,4.6,4.9
263,-2.6998,4.6,4.9
264,-2.7890,4.6,4.8
265,-2.8875,4.6,4.8
266,-2.8445,4.5,4.8
267,-2.7612,4.5,4.8
268,-2.6918,4.5,4.8
269,-2.6947,4.5,4.7
270,-2.7076,4.4,4.7
271,-2.7413,4.4,4.7
272,-2.7517,4.4,4.7
273,-2.7273,4.4,4.6
274,-2.7388,4.3,4.6
275,-2.8586,4.3,4.6
276,-2.9533,4.3,4.6
277,-2.9755,4.3,4.5
278,-2.9643,4.2,4.5
279,-2.8091,4.2,4.5
280,-2.7810,4.2,4.5
281,-2.8546,4.1,4.5
282,-2.9711,4.1,4.4
283,-2.9749,4.1,4.4
284,-2.8831,4.1,4.4
285,-2.8098,4.0,4.3
286,-2.8695,4.0,4.3
287,-2.9354,4.0,4.3
288,-2.9347,3.9,4.3
289,-2.8748,3.9,4.2
290,-2.8354,3.9,4.2
291,-2.9151,3.9,4.2
292,-3.0090,3.8,4.2
293,-3.0988,3.8,4.1
294,-3.1294,3.8,4.1
295,-3.1243,3.7,4.1
296,-3.1792,3.7,4.0
297,-3.2868,3.7,4.0
298,-3.3053,3.7,4.0
299,-3.1863,3.6,4.0
300,-3.1649,3.6,3.9
301,-3.2083,3.6,3.9
302,-3.3603,3.5,3.9
303,-3.3546,3.5,3.8
304,-3.2671,3.5,3.8
305,-3.1819,3.4,3.8
306,-3.1948,3.4,3.7
307,-3.3170,3.4,3.7
308,-3.3423,3.3,3.7
309,-3.2276,3.3,3.7
310,-3.0816,3.3,3.6
311,-3.1574,3.2,3.6
312,-3.3031,3.2,3.6
313,-3.4526,3.2,3.5
314,-3.4966,3.1,3.5
315,-3.4350,3.1,3.5
316,-3.4206,3.1,3.5
317,-3.4059,3.0,3.4
318,-3.3898,3.0,3.4
319,-3.2664,3.0,3.4
320,-3.2323,2.9,3.3
321,-3.3252,2.9,3.3
322,-3.4966,2.9,3.3
323,-3.5681,2.8,3.2
324,-3.5768,2.8,3.2
325,-3.5837,2.8,3.2
326,-3.5061,2.7,3.1
327,-3.4018,2.7,3.1
328,-3.3220,2.7,3.1
329,-3.2815,2.6,3.0
330,-3.3483,2.6,3.0
331,-3.4570,2.6,3.0
332,-3.5491,2.5,2.9
333,-3.5089,2.5,2.9
334,-3.2580,2.4,2.9
335,-3.0194,2.4,2.8
336,-2.9926,2.4,2.8
337,-3.0921,2.3,2.8
338,-3.3447,2.3,2.7
339,-3.4553,2.3,2.7
340,-3.4770,2.2,2.7
341,-3.4253,2.2,2.6
342,-3.3749,2.1,2.6
343,-3.2524,2.1,2.6
344,-3.1179,2.1,2.5
345,-3.0778,2.0,2.5
346,-3.1867,2.0,2.4
347,-3.4101,2.0,2.4
348,-3.4914,1.9,2.4
349,-3.4483,1.9,2.3
350,-3.2776,1.8,2.3
351,-3.1469,1.8,2.2
352,-3.1776,1.8,2.2
353,-3.2452,1.7,2.2
354,-3.3380,1.7,2.1
355,-3.3395,1.6,2.1
356,-3.3041,1.6,2.1
357,-3.2696,1.6,2.0
358,-3.2883,1.5,2.0
359,-3.3303,1.5,1.9
360,-3.3282,1.4,1.9
361,-3.3165,1.4,1.9
362,-3.3511,1.4,1.8
363,-3.3866,1.3,1.8
364,-3.4268,1.3,1.7
365,-3.4460,1.2,1.7
366,-3.3933,1.2,1.6
367,-3.3707,1.1,1.6
368,-3.3985,1.1,1.6
369,-3.4204,1.1,1.5
370,-3.4545,1.0,1.5
371,-3.4782,1.0,1.4
372,-3.5097,0.9,1.4
373,-3.5712,0.9,1.4
374,-3.4662,0.8,1.3
375,-3.3356,0.8,1.3
376,-3.2446,0.8,1.2
377,-3.2117,0.7,1.2
378,-3.3698,0.7,1.1
379,-3.4904,0.6,1.1
380,-3.5553,0.6,1.1
381,-3.5736,0.5,1.0
382,-3.5194,0.5,1.0
383,-3.4542,0.4,0.9
384,-3.4207,0.4,0.9
385,-3.3744,0.4,0.8
386,-3.3396,0.3,0.8
387,-3.4213,0.3,0.8
388,-3.5066,0.2,0.7
389,-3.5260,0.2,0.7
390,-3.5823,0.1,0.6
391,-3.6401,0.1,0.6
392,-3.5531,0.0,0.6
393,-3.4284,0.0,0.5
394,-3.3939,-0.1,0.5
395,-3.4137,-0.1,0.4
396,-3.4816,-0.1,0.4
